id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults,,,,,,,State Name,Abbrev
336,20200905,AK,Alaska,42,0,6567,385002,,,,,,,,
337,20200905,AL,Alabama,2275,14914,131803,977973,,,,,,,,
338,20200905,AR,Arkansas,882,4456,65226,765947,,,,,,,,
339,20200905,AS,American Samoa,0,0,0,1514,,,,,,,,
340,20200905,AZ,Arizona,5207,21520,205516,1252775,,,,,,,,
341,20200905,CA,California,13643,0,727239,11916323,,,,,,,,
342,20200905,CO,Colorado,1866,7125,58655,1040752,,,,,,,,
343,20200905,CT,Connecticut,4468,11275,53365,1237658,,,,,,,,
344,20200905,DC,District of Columbia,611,0,14238,307864,,,,,,,,
345,20200905,DE,Delaware,608,0,17892,248632,,,,,,,,
346,20200905,FL,Florida,11963,40373,643867,4763807,,,,,,,,
347,20200905,GA,Georgia,5977,25501,281548,2460729,,,,,,,,
348,20200905,GU,#N/A,15,0,1671,40741,,,,,,,,
349,20200905,HI,Hawaii,81,583,9473,221391,,,,,,,,
350,20200905,IA,Iowa,1161,0,67642,648511,,,,,,,,
351,20200905,ID,Idaho,382,1461,33196,265645,,,,,,,,
352,20200905,IL,Illinois,8385,0,250105,4373804,,,,,,,,
353,20200905,IN,Indiana,3362,11318,98961,1129078,,,,,,,,
354,20200905,KS,Kansas,481,2415,45220,427205,,,,,,,,
355,20200905,KY,Kentucky,993,4713,52464,871819,,,,,,,,
356,20200905,LA,Louisiana,5035,0,152369,1932644,,,,,,,,
357,20200905,MA,Massachusetts,9116,12347,122196,2660462,,,,,,,,
358,20200905,MD,Maryland,3796,14516,111607,1384455,,,,,,,,
359,20200905,ME,Maine,134,424,4667,291975,,,,,,,,
360,20200905,MI,Michigan,6806,0,117191,2919002,,,,,,,,
361,20200905,MN,Minnesota,1903,6676,79880,1177800,,,,,,,,
362,20200905,MO,Missouri,1639,0,92202,1038301,,,,,,,,
363,20200905,MP,Northern Marianas,2,4,58,13542,,,,,,,,
364,20200905,MS,Mississippi,2569,5326,86478,597399,,,,,,,,
365,20200905,MT,Montana,116,477,8164,261050,,,,,,,,
366,20200905,NC,North Carolina,2889,0,175815,2410871,,,,,,,,
367,20200905,ND,North Dakota,125,596,13327,483824,,,,,,,,
368,20200905,NE,Nebraska,404,2060,35661,375524,,,,,,,,
369,20200905,NH,New Hampshire,432,717,7424,218745,,,,,,,,
370,20200905,NJ,New Jersey,15985,22790,193747,2965047,,,,,,,,
371,20200905,NM,New Mexico,794,3171,25902,782044,,,,,,,,
372,20200905,NV,Nevada,1388,0,71102,613004,,,,,,,,
373,20200905,NY,New York,25350,89995,438772,8710614,,,,,,,,
374,20200905,OH,Ohio,4256,13808,129785,2377910,,,,,,,,
375,20200905,OK,Oklahoma,850,5105,63187,923273,,,,,,,,
376,20200905,OR,Oregon,480,2161,27856,580107,,,,,,,,
377,20200905,PA,Pennsylvania,7760,0,138625,1727706,,,,,,,,
378,20200905,PR,Puerto Rico,464,0,34492,340464,,,,,,,,
379,20200905,RI,Rhode Island,1058,2581,22484,570929,,,,,,,,
380,20200905,SC,South Carolina,2877,8133,124289,993927,,,,,,,,
381,20200905,SD,South Dakota,173,1068,14889,153907,,,,,,,,
382,20200905,TN,Tennessee,1862,7276,162362,2310324,,,,,,,,
383,20200905,TX,Texas,13408,0,635315,5183948,,,,,,,,
384,20200905,UT,Utah,420,3188,54272,683965,,,,,,,,
385,20200905,VA,Virginia,2677,16734,125727,1657556,,,,,,,,
386,20200905,VI,Virgin Islands,16,0,1167,17211,,,,,,,,
387,20200905,VT,Vermont,58,0,1647,143088,,,,,,,,
388,20200905,WA,Washington,1953,6848,76335,1534090,,,,,,,,
389,20200905,WI,Wisconsin,1176,6048,85463,1302741,,,,,,,,
390,20200905,WV,West Virginia,243,0,11289,453481,,,,,,,,
391,20200905,WY,Wyoming,42,223,4006,78318,,,,,,,,
392,20200904,AK,Alaska,40,0,6469,381937,,,,,,,,
393,20200904,AL,Alabama,2266,14801,130393,970413,,,,,,,,
394,20200904,AR,Arkansas,873,4422,64678,748914,,,,,,,,
