id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults
359,20200905,ME,,134,424,4667,291975
360,20200905,MI,,6806,0,117191,2919002
361,20200905,MN,,1903,6676,79880,1177800
362,20200905,MO,,1639,0,92202,1038301
363,20200905,MP,,2,4,58,13542
364,20200905,MS,,2569,5326,86478,597399
365,20200905,MT,,116,477,8164,261050
366,20200905,NC,,2889,0,175815,2410871
367,20200905,ND,,125,596,13327,483824
368,20200905,NE,,404,2060,35661,375524
369,20200905,NH,,432,717,7424,218745
370,20200905,NJ,,15985,22790,193747,2965047
371,20200905,NM,,794,3171,25902,782044
372,20200905,NV,,1388,0,71102,613004
373,20200905,NY,,25350,89995,438772,8710614
374,20200905,OH,,4256,13808,129785,2377910
375,20200905,OK,,850,5105,63187,923273
376,20200905,OR,,480,2161,27856,580107
377,20200905,PA,,7760,0,138625,1727706
378,20200905,PR,,464,0,34492,340464
379,20200905,RI,,1058,2581,22484,570929
380,20200905,SC,,2877,8133,124289,993927
381,20200905,SD,,173,1068,14889,153907
382,20200905,TN,,1862,7276,162362,2310324
383,20200905,TX,,13408,0,635315,5183948
384,20200905,UT,,420,3188,54272,683965
385,20200905,VA,,2677,16734,125727,1657556
386,20200905,VI,,16,0,1167,17211
387,20200905,VT,,58,0,1647,143088
388,20200905,WA,,1953,6848,76335,1534090
389,20200905,WI,,1176,6048,85463,1302741
390,20200905,WV,,243,0,11289,453481
391,20200905,WY,,42,223,4006,78318
392,20200904,AK,,40,0,6469,381937
393,20200904,AL,,2266,14801,130393,970413
394,20200904,AR,,873,4422,64678,748914
395,20200904,AS,,0,0,0,1514
396,20200904,AZ,,5171,21498,204681,1236928
397,20200904,CA,,13490,0,722283,11796970
398,20200904,CO,,1861,7104,58287,1029791
399,20200904,CT,,4468,11275,53365,1237658
400,20200904,DC,,611,0,14186,303351
401,20200904,DE,,606,0,17752,246642
402,20200904,FL,,11903,40127,640211,4740007
403,20200904,GA,,5931,25402,279354,2432125
404,20200904,GU,,14,0,1619,40112
405,20200904,HI,,79,573,9202,213722
406,20200904,IA,,1141,0,66614,642335
407,20200904,ID,,372,1442,32927,263727
408,20200904,IL,,8362,0,247299,4311869
409,20200904,IN,,3350,11265,97884,1117427
410,20200904,KS,,481,2415,45220,427205
411,20200904,KY,,987,4699,51677,852440
412,20200904,LA,,5035,0,152369,1932644
413,20200904,MA,,9100,12335,121758,2600312
414,20200904,MD,,3789,14473,110831,1371465
415,20200904,ME,,134,423,4632,286603
416,20200904,MI,,6798,0,116295,2877981
417,20200904,MN,,1899,6635,78966,1168307
418,20200904,MO,,1562,0,90215,1021730
419,20200904,MP,,2,4,57,13541
420,20200904,MS,,2558,5326,85939,587404
421,20200904,MT,,114,474,8019,259988
422,20200904,NC,,2839,0,174254,2389096
423,20200904,ND,,125,590,12971,476793
424,20200904,NE,,404,2033,35469,373592
425,20200904,NH,,432,716,7368,217263
426,20200904,NJ,,15978,22770,193422,2964722
427,20200904,NM,,791,3169,25812,776796
428,20200904,NV,,1375,0,70712,608815
429,20200904,NY,,25348,89995,437971,8610853
430,20200904,OH,,4248,13731,128444,2349585
431,20200904,OK,,846,5061,62040,914395
432,20200904,OR,,475,2161,27601,576929
433,20200904,PA,,7742,0,137662,1714541
434,20200904,PR,,455,0,34241,340213
435,20200904,RI,,1055,2559,22243,557522
436,20200904,SC,,2846,8073,123325,981984
437,20200904,SD,,170,1062,14596,152293
438,20200904,TN,,1837,7206,160597,2283234
439,20200904,TX,,13231,0,630829,5119753
440,20200904,UT,,419,3172,53839,679716
441,20200904,VA,,2662,16593,124779,1639828
442,20200904,VI,,16,0,1150,16940
443,20200904,VT,,58,0,1642,142198
444,20200904,WA,,1945,6834,75856,1518089
445,20200904,WI,,1161,5998,84464,1294667
446,20200904,WV,,243,0,11037,448911
447,20200904,WY,,42,223,3989,78301
448,20200903,AK,,40,0,6339,377936
449,20200903,AL,,2233,14801,129285,965974
450,20200903,AR,,861,4386,63504,738841
451,20200903,AS,,0,0,0,1514
452,20200903,AZ,,5130,21474,203953,1222859
453,20200903,CA,,13327,0,717177,11663924
454,20200903,CO,,1853,7090,58019,1021497
455,20200903,CT,,4468,11275,53209,1218216
456,20200903,DC,,609,0,14135,298759
457,20200903,DE,,606,0,17653,244548
458,20200903,FL,,11800,39884,637013,4717696
459,20200903,GA,,5868,25259,277288,2410665
460,20200903,GU,,13,0,1560,39490
461,20200903,HI,,75,552,8991,207431
462,20200903,IA,,1135,0,65523,634758
463,20200903,ID,,372,1435,32664,261400
464,20200903,IL,,8324,0,241705,4162370
465,20200903,IN,,3332,11196,96854,1103038
466,20200903,KS,,458,2361,43940,419247
467,20200903,KY,,976,4684,50885,844424
468,20200903,LA,,5021,0,151547,1917099
469,20200903,MA,,9077,12325,121546,2560869
470,20200903,MD,,3778,14427,110012,1357605
471,20200903,ME,,133,424,4617,281053
472,20200903,MI,,6791,0,115242,2849451
473,20200903,MN,,1889,6592,78123,1158388
474,20200903,MO,,1545,0,88610,1008078
475,20200903,MP,,2,4,57,13541
476,20200903,MS,,2536,5326,85116,586581
477,20200903,MT,,111,472,7871,255660
478,20200903,NC,,2803,0,172209,2347837
479,20200903,ND,,124,583,12629,470423
480,20200903,NE,,399,2027,34995,368965
481,20200903,NH,,432,715,7347,215875
482,20200903,NJ,,15971,22738,192973,2930015
483,20200903,NM,,790,3159,25612,770959
484,20200903,NV,,1363,0,70223,605268
485,20200903,NY,,25343,89995,437107,8517458
486,20200903,OH,,4226,13663,127112,2319528
487,20200903,OK,,835,5013,61027,903046
488,20200903,OR,,470,2175,27336,571125
489,20200903,PA,,7732,0,136771,1702214
490,20200903,PR,,448,0,34198,340170
491,20200903,RI,,1055,2540,22143,547593
492,20200903,SC,,2807,8006,121696,969425
493,20200903,SD,,169,1052,14337,150537
494,20200903,TN,,1815,7125,159546,2265003
495,20200903,TX,,13091,0,625347,5107503
496,20200903,UT,,414,3153,53326,673659
497,20200903,VA,,2652,16525,123668,1624531
498,20200903,VI,,15,0,1144,16793
499,20200903,VT,,58,0,1637,140881
500,20200903,WA,,1935,6795,75377,1496353
501,20200903,WI,,1154,5946,82922,1282921
502,20200903,WV,,237,0,10845,445094
503,20200903,WY,,41,223,3939,77501
504,20200902,AK,,39,0,6233,376884
505,20200902,AL,,2217,14753,128239,964233
506,20200902,AR,,841,4341,62112,737449
507,20200902,AS,,0,0,0,1514
508,20200902,AZ,,5065,21449,202861,1213927
509,20200902,CA,,13163,0,712052,11580370
510,20200902,CO,,1853,7053,57775,1014642
511,20200902,CT,,4467,11180,53108,1203979
512,20200902,DC,,608,0,14077,294797
513,20200902,DE,,606,0,17549,240530
514,20200902,FL,,11651,39611,633442,4693802
515,20200902,GA,,5795,25025,274613,2381637
516,20200902,GU,,13,0,1494,38771
517,20200902,HI,,74,532,8653,202186
518,20200902,IA,,1126,0,64645,629654
519,20200902,ID,,368,1394,32368,259096
520,20200902,IL,,8300,0,240345,4121575
521,20200902,IN,,3325,11143,95750,1092596
522,20200902,KS,,458,2361,43940,419247
523,20200902,KY,,966,4652,49991,837211
524,20200902,LA,,5004,0,150734,1904779
525,20200902,MA,,9060,12295,121131,2478482
526,20200902,MD,,3766,14351,109319,1345646
527,20200902,ME,,133,423,4567,273032
528,20200902,MI,,6781,0,114468,2816816
529,20200902,MN,,1882,6566,77085,1150854
530,20200902,MO,,1542,0,87213,998097
531,20200902,MP,,2,4,57,13541
532,20200902,MS,,2526,5326,84365,581586
533,20200902,MT,,109,461,7691,253873
534,20200902,NC,,2779,0,170553,2315310
